,trial,eta,chi,fidelity,purity,AT_fidelity,W3_name_T,W3_min_T,W3_name_AT,W3_min_AT,W3_name_E,W3_min_E,W3_unc_E,W5_t1_name_T,W5_t1_min_T,W5_t1_name_AT,W5_t1_min_AT,W5_t1_name_E,W5_t1_min_E,W5_t1_unc_E,W5_t2_name_T,W5_t2_min_T,W5_t2_name_AT,W5_t2_min_AT,W5_t2_name_E,W5_t2_min_E,W5_t2_unc_E,W5_t3_name_T,W5_t3_min_T,W5_t3_name_AT,W5_t3_min_AT,W5_t3_name_E,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028911059,2,0.018912144,0.00049742,3,0.014115176,1,0.011679873,2,0.00251322,0.000541751,6,-0.000603918,6,-0.005222774,6,-0.042200852,0.000460616,8,-0.034905044,8,-0.04261008,8,-0.042985183,0.000429923,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028811103,2,0.019231482,0.000482117,2,0.005202914,2,0.003249861,3,0.005627168,0.000463869,6,-0.03731921,4,0.003117594,6,-0.036263655,0.000466478,8,-0.059411642,8,-0.053820055,9,-0.060236244,0.000355089,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028798483,2,0.019682981,0.000536889,1,0.000308111,3,-0.000265299,3,-0.002300104,0.000535019,6,-0.022595121,6,-0.001590236,6,-0.011399844,0.000429193,9,-0.038735865,8,-0.019934466,7,-0.011399844,0.000431487,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028798701,2,0.023645953,0.000579,3,0.002838448,2,-0.000455179,1,0.002506065,0.000680555,4,0.002838448,6,-0.042515006,6,-0.000841458,0.000432169,9,-0.047379388,8,-0.051446872,8,-0.047569822,0.000409926,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028872321,2,0.018985872,0.000515869,2,0.002663306,2,0.006425959,1,0.003735881,0.000926487,6,-0.000650805,6,-0.009364082,6,-0.054287951,0.000373563,8,-0.051979232,8,-0.056834302,7,-0.054287951,0.000579711,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.02891246,2,0.019028333,0.000489701,1,0.004542026,1,0.004573268,1,0.008811581,0.000556948,5,0.004423123,6,-0.018211317,6,-0.00538381,0.000491137,8,-0.038301559,9,-0.031176588,8,-0.050745557,0.000392247,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.0288733,2,0.022086421,0.000567219,3,0.009429512,3,-0.000861111,1,0.010477973,0.000793195,5,0.008196108,6,-0.015903413,6,-0.020193933,0.000466499,8,-0.060910303,8,-0.048549003,8,-0.055554476,0.000364752,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,2,0.028960454,2,0.019136564,0.000522636,2,0.001734079,2,0.004718642,3,0.000719952,0.000514549,6,-0.007592714,6,-0.02880005,6,-0.018001135,0.000457632,9,-0.019008519,8,-0.045797525,8,-0.052588665,0.0003668,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,6,0.028784953,2,0.01889431,0.000507969,2,0.000946754,3,0.000238865,3,-5.24E-05,0.000497948,6,-0.045809883,4,0.000238865,6,-0.033441758,0.000465504,7,-0.045809883,8,-0.052313486,8,-0.050171903,0.000398917,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,6,0.03125,2,0.028960454,2,0.020952963,0.000555824,3,0.00065364,3,0.009319567,1,0.003630185,0.000662384,4,0.00065364,4,-0.000691242,4,0.003630185,0.000510655,8,-0.057047947,7,-0.000691242,8,-0.040983533,0.000445279,-114.9044555,-26.77383857,67.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,W5_t1_name_T,W5_t1_min_T,,,,,W5_t2_name_T,W5_t2_min_T,,,,,W5_t3_name_T,W5_t3_min_T,,,,,,,,,,
,,,,,,,,,,,,,,3,,,0.014115176,,,6,,,-0.000603918,,,8,,-0.034905044,,,,,,,,,
,,,,,,,,,,,,,,2,,0.005202914,,,,6,,,-0.03731921,,,8,,-0.059411642,,,,,,,,,
,,,,,,,,,,,,,,1,0.000308111,,,,,6,,,-0.022595121,,,9,,,-0.038735865,,,,,,,,
,,,,,,,,,,,,,,3,,,0.002838448,,,4,0.002838448,,,,,9,,,-0.047379388,,,,,,,,
,,,,,,,,,,,,,,2,,0.002663306,,,,6,,,-0.000650805,,,8,,-0.051979232,,,,,,,,,
,,,,,,,,,,,,,,1,0.004542026,,,,,5,,0.004423123,,,,8,,-0.038301559,,,,,,,,,
,,,,,,,,,,,,,,3,,,0.009429512,,,5,,0.008196108,,,,8,,-0.060910303,,,,,,,,,
,,,,,,,,,,,,,,2,,0.001734079,,,,6,,,-0.007592714,,,9,,,-0.019008519,,,,,,,,
,,,,,,,,,,,,,,2,,0.000946754,,,,6,,,-0.045809883,,,7,-0.045809883,,,,,,,,,,
,,,,,,,,,,,,,,3,,,0.00065364,,,4,0.00065364,,,,,8,,-0.057047947,,,,,,,,,
