,trial,eta,chi,fidelity,purity,AT_fidelity,W3_min_T,W3_min_AT,W3_min_E,W3_unc_E,W5_t1_min_T,W5_t1_min_AT,W5_t1_min_E,W5_t1_unc_E,W5_t2_min_T,W5_t2_min_AT,W5_t2_min_E,W5_t2_unc_E,W5_t3_min_T,W5_t3_min_AT,W5_t3_min_E,W5_t3_unc_E,UV_HWP,QP,B_HWP
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028789507,0.019680421,0.000471448,0.006006968,0.004730553,0.003115348,0.000537501,-0.043197019,-0.006224513,-0.015196226,0.000462119,-0.043197019,-0.056707211,-0.041092838,0.000469482,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.0287916,0.021710793,0.000446596,0.008239546,0.002786067,0.005044894,0.000936398,-0.027446987,-0.059098852,-0.024222764,0.000508674,-0.050626594,-0.059098852,-0.04280322,0.000449812,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028919209,0.018896475,0.000508321,0.002992982,-7.19E-05,0.008820113,0.000480973,-0.055739433,-0.028535294,0.000967073,0.000696144,-0.055739433,-0.042470988,-0.052335498,0.000386619,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028784037,0.019286861,0.000480498,0.000759295,0.003014591,0.006399902,0.000957339,-0.019172089,-0.00758014,-0.000976379,0.000463033,-0.019172089,-0.034155196,-0.045669422,0.000421618,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028960454,0.018906269,0.000498084,0.00655437,0.016229919,0.003867584,0.000839226,-0.040484513,-0.002775934,-0.055749448,0.000391323,-0.040484513,-0.036382078,-0.055749448,0.000573191,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028785966,0.018896739,0.000499367,0.016083301,0.005652512,0.006276787,0.000975991,-0.029457857,-0.000587659,-0.01687148,0.000456455,-0.056876563,-0.05182227,-0.030207359,0.000403988,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028843474,0.024418772,0.001046939,4.01E-05,0.011224455,0.017185295,0.000544061,4.01E-05,-0.023399417,-0.025747603,0.000813251,-0.047872489,-0.048658202,-0.058705567,0.000339841,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028879121,0.019787694,0.000469452,0.007740761,0.003894131,0.001351325,0.000534616,-0.017301068,-0.017944849,-0.035467278,0.000472315,-0.061252898,-0.055265183,-0.035467278,0.000545151,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.02878338,0.018891356,0.000507434,0.003483609,0.001689709,0.01273768,0.000543384,-0.003682116,0.001689709,-0.02516369,0.000507407,-0.044704146,-0.054206721,-0.058342505,0.000407882,-114.9044555,-26.77383857,67.5
0,3,45,90,0.486956006,0.951156348,0.90480421,0.03125,0.028960454,0.025128505,0.00080171,0.012613203,0.001597028,-0.000437869,0.000566988,-0.050042332,-0.058114721,-0.041647299,0.000454487,-0.050042332,-0.058419284,-0.041647299,0.000546409,-114.9044555,-26.77383857,67.5
