start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-26_14-29-13,2025-06-26_14-29-29,5,3,-85.02435714,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,5956.533333333333,5059.266666666666,0,695.8,69.6,0,0.066666667,0,20.778354121537205,18.483746613954892,0,3.8189585549524554,2.239543604298776,0,0.066666667,0,
2025-06-26_14-29-29,2025-06-26_14-29-44,5,3,-83.69595313,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,6421.866666666667,5683.6,0,691.6,102.93333333333335,0,0,0,31.385169887844977,24.901227100508812,0,6.911664858130143,2.667499869832342,0,0,0,
2025-06-26_14-29-44,2025-06-26_14-30-00,5,3,-82.37759375,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,7030.666666666667,6393.733333333333,0,690,154.46666666666667,0,0,0,13.913622421529416,30.696977773788184,0,7.851397610899883,2.5420901286583466,0,0,0,
2025-06-26_14-30-00,2025-06-26_14-30-15,5,3,-81.0642567,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,7858.733333333333,7288.866666666666,0,702.5333333333333,211.9333333333333,0,0.066666667,0,19.14662720515892,17.63412096539612,0,9.279367795,4.436465059281119,0,0.066666667,0,
2025-06-26_14-30-16,2025-06-26_14-30-31,5,3,-79.7534308,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,8792.4,8393.999999999998,0,691.6666666666667,279.73333333333335,0,0,0,13.184755506939876,18.851171493216768,0,6.5362238503758485,5.152561391083945,0,0,0,
2025-06-26_14-30-32,2025-06-26_14-30-47,5,3,-78.42000446,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,9813.733333333334,9588.466666666667,0,685,354.46666666666664,0,0,0,19.621246987215933,25.969126969452553,0,7.671013260609332,6.682980040537472,0,0,0,
2025-06-26_14-30-48,2025-06-26_14-31-03,5,3,-77.0815558,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,10919.866666666665,10956.866666666667,0,712.1333333333334,427.8666666666667,0,0,0,11.880235687897759,32.85956650826533,0,4.569950157763697,3.474670248143457,0,0,0,
2025-06-26_14-31-04,2025-06-26_14-31-19,5,3,-75.76068527,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,12222,12470.733333333334,0,711.5333333333333,528.8666666666667,0,0,0,22.613909190781072,28.425028095363643,0,4.430450190318017,8.123080969954954,0,0,0,
2025-06-26_14-31-19,2025-06-26_14-31-35,5,3,-74.43981473,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,13655.333333333332,14160.266666666668,0,706.9333333333334,636.3333333333334,0,0.13333333333333333,0,15.914005013055538,22.884104138511173,0,6.720945700651878,7.403452648,0,0.13333333333333333,0,
2025-06-26_14-31-35,2025-06-26_14-31-50,5,3,-73.1189442,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,14980.2,15846.333333333334,0,706.2666666666667,745.4666666666666,0,0.2,0,29.846384482323188,26.42284365,0,4.805552344250703,5.944745579080739,0,0.081649658,0,
2025-06-26_14-31-51,2025-06-26_14-32-06,5,3,-71.79305134,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,16493.466666666664,17652.333333333332,0,697.1333333333333,857.5333333333334,0,0.2,0,41.90327486539004,45.49908423986867,0,10.314283515806833,7.242313933482255,0,0.13333333333333333,0,
2025-06-26_14-32-07,2025-06-26_14-32-22,5,3,-70.47469196,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,18095.533333333333,19445.06666666667,0,695.1999999999999,956.9333333333332,0,0.066666667,0,34.97659534920764,39.032379720773704,0,2.402776172125347,5.888217991133739,0,0.066666667,0,
2025-06-26_14-32-22,2025-06-26_14-32-38,5,3,-69.15382143,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,19843.533333333333,21466.93333333333,0,690.4,1099.6000000000001,0,0.066666667,0,37.60593925,18.361917111238792,0,5.170858514577409,7.103520254071221,0,0.066666667,0,
2025-06-26_14-32-38,2025-06-26_14-32-54,5,3,-67.82541741,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,21449.666666666664,23397.666666666668,0,695.3333333333334,1217.1333333333334,0,0.066666667,0,24.623836689950025,23.083423585864278,0,4.059282914232252,8.039209469151107,0,0.066666667,0,
2025-06-26_14-32-54,2025-06-26_14-33-09,5,3,-66.49952455,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,23068.6,25319.199999999997,0,694.6666666666667,1339.1333333333334,0,0.13333333333333333,0,31.07167341629507,6.822023160324016,0,4.199206274206282,3.8392707640904864,0,0.13333333333333333,0,
2025-06-26_14-33-10,2025-06-26_14-33-25,5,3,-65.18116518,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,24771.199999999997,27366.466666666667,0,694.5333333333334,1478.6,0,0.13333333333333333,0,75.54561535919872,41.099013234977974,0,8.023299404442877,13.060712929324442,0,0.081649658,0,
2025-06-26_14-33-26,2025-06-26_14-33-41,5,3,-63.84773884,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,26564.4,29366.666666666668,0,700.9999999999999,1596.1333333333332,0,0.2,0,51.38259541,20.526676410087912,0,6.508968172196463,17.541886380255033,0,0.081649658,0,
2025-06-26_14-33-42,2025-06-26_14-33-57,5,3,-62.5268683,-9.718191964,0.998046875,67.4915,44.99005133928573,67.50205084228516,-0.000184082,0.001094971,-2.20E-05,28120.666666666664,31295,0,701.6666666666667,1717.5333333333335,0,0.13333333333333333,0,33.42371081200339,44.18307871170165,0,5.7203341005768396,14.418583687573342,0,0.13333333333333333,0,
